Affordable Housing Office,Permanent,15
Children's Services,Permanent,729.9
Court Services,Permanent,282
Economic Development & Culture,Permanent,231
Toronto Paramedic Services,Permanent,1376.5
Long Term Care Homes & Services,Permanent,2225.9
"Parks, Forestry & Recreation",Permanent,1895.2
"Shelter, Support & Housing Administration",Permanent,568
"Social Development, Finance & Administratio",Permanent,120.5
Toronto Employment & Social Services,Permanent,2009
City Planning,Permanent,347
Fire Services,Permanent,3149.5
Municipal Licensing and Standards,Permanent,459
"Policy, Planning, Finance and Administration",Permanent,192
Engineering & Construction Services,Permanent,127.5
Toronto Building,Permanent,435
Transportation Services,Permanent,996.1
Office of the Chief Financial Officer,Permanent,101
Office of the Treasurer,Permanent,665
"Facilities, Real Estate, Environment & Energy",Permanent,891.2
Fleet Services,Permanent,175
Information & Technology,Permanent,584
311 Toronto,Permanent,137
City Manager's Office,Permanent,415.5
City Clerk's Office,Permanent,396.3
Legal Services,Permanent,269.4
Mayor's Office,Permanent,1
City Council,Permanent,44
Auditor General's Office,Permanent,29.5
Lobbyist Registrar,Permanent,8
Integrity Commissioner's Office,Permanent,3
Office of the Ombudsman,Permanent,12
Toronto Public Health,Permanent,1797
Toronto Public Library,Permanent,1739.9
Association of Community Centres,Permanent,77.9
Exhibition Place,Permanent,379
Heritage Toronto,Permanent,7
Theatres,Permanent,85.9
Toronto Zoo,Permanent,278
Arena Boards of Management,Permanent,43.2
Yonge-Dundas Square,Permanent,6
Parking Tag Enforcement & Operations,Permanent,394
Toronto Atmospheric Fund,Permanent,8
Toronto Transit Commission - Conventional,Permanent,11682
Toronto Transit Commission - Wheel-Trans,Permanent,562
Toronto Police Service,Permanent,7672
Toronto Police Services Board,Permanent,7
Solid Waste Management Services,Permanent,964
Toronto Water,Permanent,1640
Toronto Parking Authority,Permanent,246.1
Affordable Housing Office,Temporary,4
Children's Services,Temporary,237.7
Court Services,Temporary,0
Economic Development & Culture,Temporary,69.6
Toronto Paramedic Services,Temporary,14.8
Long Term Care Homes & Services,Temporary,0
"Parks, Forestry & Recreation",Temporary,2559.6
"Shelter, Support & Housing Administration",Temporary,139.2
"Social Development, Finance & Administratio",Temporary,7
Toronto Employment & Social Services,Temporary,83
City Planning,Temporary,13
Fire Services,Temporary,5.3
Municipal Licensing and Standards,Temporary,1
"Policy, Planning, Finance and Administration",Temporary,7.4
Engineering & Construction Services,Temporary,5.5
Toronto Building,Temporary,7
Transportation Services,Temporary,32.7
Office of the Chief Financial Officer,Temporary,1
Office of the Treasurer,Temporary,28
"Facilities, Real Estate, Environment & Energy",Temporary,34.3
Fleet Services,Temporary,1
Information & Technology,Temporary,3
311 Toronto,Temporary,20
City Manager's Office,Temporary,9
City Clerk's Office,Temporary,7.6
Legal Services,Temporary,33
Mayor's Office,Temporary,19
City Council,Temporary,132
Auditor General's Office,Temporary,0
Lobbyist Registrar,Temporary,0.3
Integrity Commissioner's Office,Temporary,0
Office of the Ombudsman,Temporary,0
Toronto Public Health,Temporary,44.6
Toronto Public Library,Temporary,0
Association of Community Centres,Temporary,0
Exhibition Place,Temporary,11
Heritage Toronto,Temporary,0
Theatres,Temporary,77.2
Toronto Zoo,Temporary,124.5
Arena Boards of Management,Temporary,23.4
Yonge-Dundas Square,Temporary,0.5
Parking Tag Enforcement & Operations,Temporary,0
Toronto Atmospheric Fund,Temporary,0
Toronto Transit Commission - Conventional,Temporary,9
Toronto Transit Commission - Wheel-Trans,Temporary,0
Toronto Police Service,Temporary,211
Toronto Police Services Board,Temporary,0
Solid Waste Management Services,Temporary,117.7
Toronto Water,Temporary,70.3
Toronto Parking Authority,Temporary,53.3
