Contribution To Capital,505A,
Contribution To Reserves/Reserve Funds,510A,
Contribution to Capital,505A,
Contribution to Reserves/Reserve Funds,510A,
Contributions to CCRF Naming Rights,510A,
Contributions to Capital,505A,
Contributions to Reserve Funds,510A,
Contributions to Reserve/Res Funds,510A,
Contributions to Reserves,510A,
Cost of Sales,200A,guess
Equipment,300A,
Inter-Divisional Charges,700A,
Interdivisional Charges,700A,
Materials & Supplies,200A,
Materials and Supplies,200A,
Other Expenditures,650A,
Salaries And Benefits,100A,
Salaries and Benefits,100A,
Service And Rent,400A,
Service and Rent,400A,
Services & Rents,400A,
Special Levy for Scarborough Subway,510A,
Special Levy for Scarborough Subway (Reserve Contribution),510A,
