_COLUMNS_,"Category:NAME,Category:CODE,Note:DESCRIPTION,Count:VALUE",,
311 Toronto,311SERVICE,,4
Affordable Housing Office,AFFHOUSING,,3
Arena Boards of Management,ARENAS,,3
Association of Community Centres,COMMCENTRES,,3
Children's Services,CHILDSERV,,5
City Clerk's Office,CLERK,,5
City Manager's Office,CITYMANAGER,,6
City Planning,PLANNING,,4
City's Council,COUNCIL,,1
Court Services,COURTSERV,,4
Economic Development & Culture,ECONDEV,,8
Emergency Medical Services,PARAMEDIC,,6
Engineering & Construction Services,ENGINEERING,,5
Exhibition Place,EXHIBPLACE,,2
Facilities Management & Real Estate,FACILITIES,,7
Fire Services,FIRE,,5
Fleet Services,FLEET,,4
Heritage Toronto,HERITAGE,,4
Information & Technology,IT,,5
Legal Services,LEGAL,,5
Long Term Care Homes & Services,LONGTERMHOME,,6
Municipal Licensing & Standards,LICENCING,,5
Non-Program,CORPEXPENDITURES,,9
Office of the Chief Financial Officer,CFO,,4
Office of the Treasurer,TREASURER,,5
"Parks, Forestry & Recreation",PARKS,,8
"Policy, Planning, Finance & Admin",POLICYADMIN,,5
"Shelter, Support & Housing Admin",SHELTERADMIN,,8
"Social Development, Finance & Admin",SOCIALDEV,,6
Solid Waste Management Services,SOLIDWASTE,,6
Theatres,THEATRES,,3
Toronto Atmospheric Fund,ATMOSPHERE,,2
Toronto Buildings,BUILDINGS,,6
Toronto Employment & Social Services,SOCIALSERV,,6
Toronto Parking Authority,PARKING,,2
Toronto Police Service,POLICE,,5
Toronto Police Services Board,POLICEBOARD,,1
Toronto Public Health,PUBLICHEALTH,,7
Toronto Public Library,LIBRARY,,6
Toronto Region Conservation Authority,REGIONCONSERV,,4
Toronto Transit Commission - Wheel Trans,TTCWHEEL,,1
Toronto Transit Commission-Conventional,TTCCONV,,1
Toronto Water,WATER,,4
Toronto Zoo,ZOO,,5
Transportation Services,TRANSPORTATION,,6
Yonge-Dundas Square,YONGEDUNDAS,,3
