_COLUMNS_,"Category:NAME,Category:CODE,Note:DESCRIPTION,Count:VALUE",,
311 Performance Reporting,311 Performance Reporting,,
311 Service Delivery,311 Service Delivery,,1
AM-Community Paramedicine & Emergency Call Mitigation,AM-Community Paramedicine & Emergency Call Mitigation,,10
AM-Emergency Medical Care,AM-Emergency Medical Care,,15
ASD-Financial Reporting & Control,ASD-Financial Reporting & Control,,7
ASD-Payment Processing,ASD-Payment Processing,,9
ASD-SAP Governance,ASD-SAP Governance,,
ASD-Tax & Financial System Support,ASD-Tax & Financial System Support,,3
BL-Building Compliance,BL-Building Compliance,,18
BL-Building Permission & Information,BL-Building Permission & Information,,18
Bike Share,Bike Share,,2
Blocked AM-City Emergency & Major Event Mass Casualty Care,Blocked AM-City Emergency & Major Event Mass Casualty Care,,
CA-Environment & Energy,CA-Environment & Energy,,11
CA-Facilities Management,CA-Facilities Management,,13
CA-Real Estate,CA-Real Estate,,11
CD-Community & Neighbourhood Development,CD-Community & Neighbourhood Development,,13
CD-Community Partnership Investment Program,CD-Community Partnership Investment Program,,1
CD-Financial Management & Program Support,CD-Financial Management & Program Support,,4
CD-Social Policy & Planning,CD-Social Policy & Planning,,5
CD-Toronto Office of Partnerships,CD-Toronto Office of Partnerships,,1
"CM-Equity, Diversity & Human Rights","CM-Equity, Diversity & Human Rights",,1
CM-Executive Management,CM-Executive Management,,
CM-Internal Auditing,CM-Internal Auditing,,3
CM-Strategic & Corporate Policy,CM-Strategic & Corporate Policy,,3
CM-Strategic Communications,CM-Strategic Communications,,5
"CPF-Financial Strategies, Analysis & Policy Development","CPF-Financial Strategies, Analysis & Policy Development",,9
CPF-Investment & Debt Management,CPF-Investment & Debt Management,,4
CPF-Risk Management & Insurance,CPF-Risk Management & Insurance,,4
CT-Provincial Offences/Licencing Tribunal Dispute Resolution,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,,6
Child Care Delivery,Child Care Delivery,,5
Child Care System Management,Child Care System Management,,4
Chronic Diseases & Injuries,Chronic Diseases & Injuries,,4
City Building & Policy Development,City Building & Policy Development,,3
Civil Litigation,Civil Litigation,,2
Community Ice & Facility Booking,Community Ice & Facility Booking,,2
"Conventions, Conferences & Meetings","Conventions, Conferences & Meetings",,2
Corporate Accounts,Corporate Accounts,,12
Corporate Leadership,Corporate Leadership,,
Corporate Leadership (DCM),Corporate Leadership (DCM),,1
Court Case Management,Court Case Management,,3
Default Fine Collection Management,Default Fine Collection Management,,3
"Development Review, Decision & Implementation","Development Review, Decision & Implementation",,3
EC-Business Services,EC-Business Services,,5
EC-Cultural Services,EC-Cultural Services,,16
EC-Economic Competitiveness Services,EC-Economic Competitiveness Services,,12
Emergency Medical Dispatch & Preliminary Care,Emergency Medical Dispatch & Preliminary Care,,4
Emergency Preparedness,Emergency Preparedness,,4
Environmental Health,Environmental Health,,6
Exhibition Place Asset Management,Exhibition Place Asset Management,,2
Exhibition Place Parking Access,Exhibition Place Parking Access,,1
Exhibitions & Events,Exhibitions & Events,,2
F&A-Executive Leadership,F&A-Executive Leadership,,2
F&A-Financial Management & Program Support,F&A-Financial Management & Program Support,,
F&A-Organizational Management Consulting,F&A-Organizational Management Consulting,,
FL-Fleet Management,FL-Fleet Management,,10
FL-Fuel Management,FL-Fuel Management,,5
FPD-Financial Planning & Management,FPD-Financial Planning & Management,,9
FPD-Financial Reporting & Control,FPD-Financial Reporting & Control,,3
FR-Disaster Response & Event Support,FR-Disaster Response & Event Support,,3
"FR-Fire Prevention, Inspection, & Enforcement","FR-Fire Prevention, Inspection, & Enforcement",,3
FR-Fire Safety Education,FR-Fire Safety Education,,4
Family Health,Family Health,,4
Fire Rescue & Emergency Response,Fire Rescue & Emergency Response,,4
GV-Elect Government,GV-Elect Government,,2
GV-Make Government Work,GV-Make Government Work,,5
GV-Open Government,GV-Open Government,,7
HA-Communtiy Based Long-Term Care,HA-Communtiy Based Long-Term Care,,4
HR Employee & Labour Relations,HR Employee & Labour Relations,,3
HR Employment Services,HR Employment Services,,2
HR Organizational & Employee Effectiveness,HR Organizational & Employee Effectiveness,,2
HR Safe & Healthy Workplaces,HR Safe & Healthy Workplaces,,2
HS-Homeless and Housing First Solutions,HS-Homeless and Housing First Solutions,,10
HS-Social Housing System Management,HS-Social Housing System Management,,19
Heritage Fundraising & Partnership Development,Heritage Fundraising & Partnership Development,,2
Heritage Promotion & Education,Heritage Promotion & Education,,3
Housing Improvement Loans & Grants,Housing Improvement Loans & Grants,,2
Housing Policy & Partnerships,Housing Policy & Partnerships,,2
IT-Business IT Solutions,IT-Business IT Solutions,,15
IT-Computer & Communications Technology Infrastructure,IT-Computer & Communications Technology Infrastructure,,9
IT-Enterprise IT Planning & Client Services,IT-Enterprise IT Planning & Client Services,,10
Infectious Diseases,Infectious Diseases,,5
Library Collections Access & Borrowing,Library Collections Access & Borrowing,,5
Library In-Branch & Virtual Services,Library In-Branch & Virtual Services,,5
"Library Partnerships, Outreach & Cust. Engagement","Library Partnerships, Outreach & Cust. Engagement",,5
Long Term Care Homes,Long Term Care Homes,,6
"MS-Animal Care, Control & Sheltering","MS-Animal Care, Control & Sheltering",,14
"MS-Business Licensing, Enforcement, & Permitting","MS-Business Licensing, Enforcement, & Permitting",,12
MS-By-Law Enforcement,MS-By-Law Enforcement,,2
"MS-Property Standards, Inspection & Compliance","MS-Property Standards, Inspection & Compliance",,8
New Affordable Housing Development,New Affordable Housing Development,,3
