_COLUMNS_,"Category:NAME,Category:CODE,Note:DESCRIPTION,Count:VALUE",,
311 PMO,311 PMO,,1
3rd Party Application Review & Acceptance,3rd Party Application Review & Acceptance,,4
ASD-Accounts Payable Processing,ASD-Accounts Payable Processing,,3
ASD-Accounts Receivable Processing,ASD-Accounts Receivable Processing,,2
ASD-Corporate Banking,ASD-Corporate Banking,,1
ASD-Financial & System Control,ASD-Financial & System Control,,3
ASD-Financial Statement Preparation,ASD-Financial Statement Preparation,,1
ASD-Management Reporting,ASD-Management Reporting,,2
ASD-PCard Processing,ASD-PCard Processing,,3
ASD-Provincial & Federal Reports Submission,ASD-Provincial & Federal Reports Submission,,1
ASD-SAP User Support,ASD-SAP User Support,,1
ASD-Tax Advisory & Policy,ASD-Tax Advisory & Policy,,2
Adult Day Program,Adult Day Program,,2
Advertising / Corporate Identity Management,Advertising / Corporate Identity Management,,2
Animal By-Law Enforcement,Animal By-Law Enforcement,,1
Animal Mobile Response,Animal Mobile Response,,3
Animal Sheltering & Adoption,Animal Sheltering & Adoption,,5
Arts Programming,Arts Programming,,4
Audit Reporting,Audit Reporting,,2
Authoritative Data Custodianship,Authoritative Data Custodianship,,4
BIA Support & Governance,BIA Support & Governance,,3
Beach Access,Beach Access,,2
Bridge Condition Assessment,Bridge Condition Assessment,,2
Budget Planning & coordination,Budget Planning & coordination,,1
Building Information,Building Information,,5
Building Inspections,Building Inspections,,5
Building Investigations,Building Investigations,,5
Building Permits,Building Permits,,5
Business & Trade Licensing,Business & Trade Licensing,,3
Business Permitting,Business Permitting,,3
Business Risk & Consulting,Business Risk & Consulting,,1
CPF-Advisory & Negotiation,CPF-Advisory & Negotiation,,3
CPF-Claims Management,CPF-Claims Management,,2
CPF-Debt Management,CPF-Debt Management,,2
CPF-Financial & Business Analysis,CPF-Financial & Business Analysis,,3
CPF-Financial Policy Development,CPF-Financial Policy Development,,3
CPF-Insurance & Risk Management,CPF-Insurance & Risk Management,,2
CPF-Investment Management,CPF-Investment Management,,2
Campaign Based Fire Education,Campaign Based Fire Education,,2
Cat & Dog Licensing,Cat & Dog Licensing,,3
"Chemical, Biological, Radiological, Nuclear & Exposive Resp.","Chemical, Biological, Radiological, Nuclear & Exposive Resp.",,1
Citizen First Response Education,Citizen First Response Education,,5
"Client Support, Advice & Consultation","Client Support, Advice & Consultation",,4
Community Development,Community Development,,5
Community Engagement,Community Engagement,,2
Community Funding Delivery,Community Funding Delivery,,3
Community Healthcare Outreach & Referral,Community Healthcare Outreach & Referral,,5
Community Safety,Community Safety,,2
Complement Management & Reporting,Complement Management & Reporting,,2
Computing Infrastructure,Computing Infrastructure,,4
Construction,Construction,,4
Construction Permits,Construction Permits,,5
Corporate Information Production Services,Corporate Information Production Services,,3
Corporate Partnership Initiatives,Corporate Partnership Initiatives,,1
Critical Care Transport,Critical Care Transport,,5
Cultural Development,Cultural Development,,3
Cultural Grants,Cultural Grants,,1
Custodial Care,Custodial Care,,4
Design,Design,,3
Develop and implement integrated employment strategies,Develop and implement integrated employment strategies,,2
Development & Portfolio Planning,Development & Portfolio Planning,,1
Development Application Review & Acceptance,Development Application Review & Acceptance,,4
Development Review,Development Review,,1
Development Review Applications,Development Review Applications,,4
Durable Goods (P&T),Durable Goods (P&T),,1
Elections,Elections,,2
Eligibility determination and case management,Eligibility determination and case management,,3
Emergency Management Program Development & Response,Emergency Management Program Development & Response,,3
Energy Generation,Energy Generation,,2
Energy Management & Programs,Energy Management & Programs,,4
Enterprise Planning & Architecture,Enterprise Planning & Architecture,,4
Entrepreneurship Support,Entrepreneurship Support,,4
Environment & Energy Outreach,Environment & Energy Outreach,,4
Equity & Accessibility,Equity & Accessibility,,1
Event Support,Event Support,,2
Events Programming,Events Programming,,4
Exemptions & Permits,Exemptions & Permits,,3
FPD-Budgeting,FPD-Budgeting,,2
FPD-Financial Advice,FPD-Financial Advice,,2
FPD-Financial Planning & Policy,FPD-Financial Planning & Policy,,2
Facilities Maintenance,Facilities Maintenance,,5
Filming Activity,Filming Activity,,1
Financial Management & Reporting,Financial Management & Reporting,,1
Financial Planning & Coordination,Financial Planning & Coordination,,1
Financial Transaction & Payment Processing,Financial Transaction & Payment Processing,,1
Financial and employment benefits administration,Financial and employment benefits administration,,5
Fire Code Enforcement,Fire Code Enforcement,,2
Fleet Acquisition,Fleet Acquisition,,3
Fleet Disposal,Fleet Disposal,,1
Fleet Maintenance,Fleet Maintenance,,4
Fuel Acquisition,Fuel Acquisition,,3
Fuel Distribution,Fuel Distribution,,3
Garbage (C&T),Garbage (C&T),,3
Garbage (P&T),Garbage (P&T),,4
General Administration,General Administration,,2
Government & Official Services,Government & Official Services,,3
Government Decision Making Processes,Government Decision Making Processes,,4
Green Bin (P&T),Green Bin (P&T),,1
Green Lane Landfill Site,Green Lane Landfill Site,,3
Hearings,Hearings,,3
Heavy Urban Search & Rescue,Heavy Urban Search & Rescue,,1
Heritage Programming,Heritage Programming,,7
Homemakers & Nurses Services,Homemakers & Nurses Services,,1
Housing Stability Policy & Strategic Investments,Housing Stability Policy & Strategic Investments,,6
Human Services System Planning,Human Services System Planning,,3
IT Common Components,IT Common Components,,3
IT Project Management,IT Project Management,,3
