_COLUMNS_,"Category:NAME,Category:CODE,Note:DESCRIPTION,Count:VALUE",,
311 Service Delivery,311 Service Delivery,,1
AM-Community Paramedicine & Emergency Call Mitigation,AM-Community Paramedicine & Emergency Call Mitigation,,10
AM-Emergency Medical Care,AM-Emergency Medical Care,,10
ASD-Financial Reporting & Control,ASD-Financial Reporting & Control,,7
ASD-Payment Processing,ASD-Payment Processing,,9
ASD-Tax & Financial System Support,ASD-Tax & Financial System Support,,3
BL-Building Compliance,BL-Building Compliance,,15
BL-Building Permission & Information,BL-Building Permission & Information,,15
Bike Share,Bike Share,,3
Blocked AM-City Emergency & Major Event Mass Casualty Care,Blocked AM-City Emergency & Major Event Mass Casualty Care,,6
CA-Environment & Energy,CA-Environment & Energy,,11
CA-Facilities Management,CA-Facilities Management,,12
CA-Real Estate,CA-Real Estate,,10
CD-Community & Neighbourhood Development,CD-Community & Neighbourhood Development,,13
CD-Community Partnership Investment Program,CD-Community Partnership Investment Program,,1
CD-Financial Management & Program Support,CD-Financial Management & Program Support,,4
CD-Social Policy & Planning,CD-Social Policy & Planning,,5
CD-Toronto Office of Partnerships,CD-Toronto Office of Partnerships,,4
"CM-Equity, Diversity & Human Rights","CM-Equity, Diversity & Human Rights",,1
CM-Internal Auditing,CM-Internal Auditing,,3
CM-Strategic & Corporate Policy,CM-Strategic & Corporate Policy,,2
CM-Strategic Communications,CM-Strategic Communications,,5
"CPF-Financial Strategies, Analysis & Policy Development","CPF-Financial Strategies, Analysis & Policy Development",,9
CPF-Investment & Debt Management,CPF-Investment & Debt Management,,4
CPF-Risk Management & Insurance,CPF-Risk Management & Insurance,,4
CT-Provincial Offences/Licencing Tribunal Dispute Resolution,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,,6
Child Care Delivery,Child Care Delivery,,5
Child Care System Management,Child Care System Management,,4
Chronic Diseases & Injuries,Chronic Diseases & Injuries,,5
City Building & Policy Development,City Building & Policy Development,,3
Civil Litigation,Civil Litigation,,2
Community Ice & Facility Booking,Community Ice & Facility Booking,,2
"Conventions, Conferences & Meetings","Conventions, Conferences & Meetings",,2
Corporate Accounts,Corporate Accounts,,13
Corporate Leadership (DCM),Corporate Leadership (DCM),,1
Court Case Management,Court Case Management,,3
Default Fine Collection Management,Default Fine Collection Management,,3
"Development Review, Decision & Implementation","Development Review, Decision & Implementation",,2
EC-Business Services,EC-Business Services,,5
EC-Cultural Services,EC-Cultural Services,,19
EC-Economic Competitiveness Services,EC-Economic Competitiveness Services,,13
Emergency Medical Dispatch & Preliminary Care,Emergency Medical Dispatch & Preliminary Care,,3
Emergency Preparedness,Emergency Preparedness,,5
Environmental Health,Environmental Health,,7
Exhibition Place Asset Management,Exhibition Place Asset Management,,2
Exhibition Place Parking Access,Exhibition Place Parking Access,,1
Exhibitions & Events,Exhibitions & Events,,2
F&A-Executive Leadership,F&A-Executive Leadership,,2
FL-Fleet Management,FL-Fleet Management,,9
FL-Fuel Management,FL-Fuel Management,,6
FPD-Financial Planning & Management,FPD-Financial Planning & Management,,6
FPD-Financial Reporting & Control,FPD-Financial Reporting & Control,,2
FR-Disaster Response & Event Support,FR-Disaster Response & Event Support,,4
"FR-Fire Prevention, Inspection, & Enforcement","FR-Fire Prevention, Inspection, & Enforcement",,3
FR-Fire Safety Education,FR-Fire Safety Education,,4
Family Health,Family Health,,5
