_COLUMNS_,"Category:NAME,Category:CODE,Note:DESCRIPTION,Count:VALUE",,
311 Toronto,311SERVICE,,9
Affordable Housing Office,AFFHOUSING,,9
Arena Boards of Management,ARENAS,,9
Association of Community Centres,COMMCENTRES,,9
Auditor General's Office,AUDITGEN,,9
CAPITAL & CORPORATE FINANCE / NON-PROGRAM,CORPFINANCING,,9
Children's Services,CHILDSERV,,9
City Clerk's Office,CLERK,,9
City Council,COUNCIL,,9
City Manager's Office,CITYMANAGER,,9
City Planning,PLANNING,,9
Community Partnership and Investment Program,COMMPARTNER,,9
Court Services,COURTSERV,,9
Economic Development and Culture,ECONDEV,,9
Emergency Medical Services,PARAMEDIC,,9
Exhibition Place,EXHIBPLACE,,8
Facilities Management and Real Estate,FACILITIES,,9
Fire Services,FIRE,,9
Fleet Services,FLEET,,9
Heritage Toronto,HERITAGE,,9
Information and Technology,IT,,9
Legal Services,LEGAL,,9
Long Term Care Homes & Services,LONGTERMHOME,,9
Municipal Licensing and Standards,LICENCING,,9
Office of the Chief Financial Officer,CFO,,9
Office of the Treasurer,TREASURER,,9
"Parks, Forestry and Recreation",PARKS,,8
"Policy, Planning, Finance and Administration",POLICYADMIN,,9
"Shelter, Support and Housing Administration",SHELTERADMIN,,9
"Social Development, Finance and Administration",SOCIALDEV,,9
Solid Waste Management Services,SOLIDWASTE,,9
Technical Services,THEATRES,,9
The Integrity Commissioner's Office,INTEGRITYCOMM,,9
The Lobbyist Registrar's Office,LOBBYREG,,9
The Mayor's Office,MAYOR,,9
The Ombudsman's Office,OMBUDSMAN,,9
Theatres - Sony Centre for the Performing Arts,THEATRES,,9
Theatres - St. Lawrence Centre for the Arts,THEATRES,,9
Theatres - Toronto Centre for the Arts,THEATRES,,9
Toronto Atmospheric Fund,ATMOSPHERE,,9
Toronto Buildings,BUILDINGS,,9
Toronto Employment and Social Services,SOCIALSERV,,9
Toronto Environment Office,ENVIRONMENTOFFICE,,9
Toronto Parking Authority,PARKING,,9
Toronto Police Service,POLICE,,9
Toronto Police Service Board,POLICEBOARD,,9
Toronto Public Health,PUBLICHEALTH,,9
Toronto Public Library,LIBRARY,,9
Toronto Transit Commission - Conventional,TTCCONV,,9
Toronto Transit Commission - Wheel Trans,TTCWHEEL,,9
Toronto Water,WATER,,9
Toronto Zoo,ZOO,,5
Toronto and Region Conservation Authority,REGIONCONSERV,,9
Transportation Services,TRANSPORTATION,,9
Waterfront Secretariat,WATERFRONT,,9
Yonge-Dundas Square,YONGEDUNDAS,,9
