311SERVICE,311 Toronto
AFFHOUSING,Affordable Housing Office
AGEDHOMES,Homes for the Aged
ARENAS,Arena Boards of Management
ASSESSMENT,Assessment Change
ATMOSPHERE,Toronto Atmospheric Fund
AUDITGEN,Auditor General's Office
BEAUTY,Clean and Beautiful City Secretariat
BIZSUPPORT,Business Support Services
BUILDINGS,Toronto Building
CFO,Office of the Chief Financial Officer
CHARITYREBATE,C & I Charity Rebate - Special Levy
CHILDSERV,Children's Services
CITYMANAGER,City Manager's Office
CLERK,City Clerk's Office
COMMCENTRES,Association of Community Centres
COMMPARTNER,Community Partnership and Investment Program
COMMPARTNERREV,Community Partnership and Investment Program revenue
CORPCOMMS,Corporate Communications
CORPEXPENDITURES,Non-Program Expenditures
CORPFINANCING,Capital & Corporate Financing
CORPREVENUES,Non-Program Revenues
COUNCIL,City Council
COURTSERV,Court Services
CREATIVEINFO,Pubic Information & Creative Services
CULTURE,Culture
ECONDEV,Economic Development & Culture
ECONRECOV,Economic Recovery
EMERG,Emergency Medical Services
EMERGPLAN,Emergency Management Plan
ENGINEERING,Engineering & Construction Services
ENV,Toronto Environment Office
EXHIBPLACE,Exhibition Place
FACILITIES,"Facilities, Real Estate, Environment & Energy"
FINANCE,Finance
FIRE,Fire Services
FLEET,Fleet Services
GRANTPROGRAM,Consolidated Grant Program
HERITAGE,Heritage Toronto
HUMANRESOURCES,Human Resources
INNOVATION,Service Improvement & Innovation
INTEGRITYCOMM,Integrity Commissioner's Office
IT,Information & Technology
KVC,Keele Valley Closure (KVC)
LEGAL,Legal Services
LIBRARY,Toronto Public Library
LICENCING,Municipal Licensing & Standards
LOBBYREG,Office of the Lobbyist Registrar
LOCALAPPEAL,Local Appeal Body
LONGTERMHOME,Long Term Care Homes & Services
MAYOR,Mayor's Office
NONPROGRAM,Non Program
OMBUDSMAN,Office of the Ombudsman
PARAMEDIC,Toronto Paramedic Services
PARKING,Toronto Parking Authority
PARKINGTAGS,Parking Tag Enforcement & Operations
PARKS,"Parks, Forestry & Recreation"
PLANNING,City Planning
POLICE,Toronto Police Service
POLICEBOARD,Toronto Police Services Board
POLICYADMIN,"Policy, Planning, Finance & Administration"
PUBLICHEALTH,Toronto Public Health
REGIONCONSERV,Toronto & Region Conservation Authority
SHELTERADMIN,"Shelter, Support & Housing Administration"
SOCIALDEV,"Social Development, Finance & Administration"
SOCIALSERV,Toronto Employment & Social Services
SOLIDWASTE,Solid Waste Management Services
SUBWAYLEVY,Special Levy for Scarborough Subway
SUPPORTSERV,Support Services
TCHCEXEMPT,TCHC Exempt
TECH,Technical Services
THEATRES,Theatres
TOTALPOLICE,Toronto Police Service & Board
TOTALTTC,Toronto Transit Commission (Incl. Wheel Trans)
TOURISM,Tourism
TRANSPORTATION,Transportation Services
TREASURER,Office of the Treasurer
TTCCONV,Toronto Transit Commission - Conventional
TTCWHEEL,Toronto Transit Commission - Wheel Trans
WATER,Toronto Water
WATERFRONT,Waterfront Secretariat
WORLDYOUTH,World Youth Day
YONGEDUNDAS,Yonge-Dundas Square
ZOO,Toronto Zoo
