_COLUMNS_,"Category:NAME,Category:CODE,Note:DESCRIPTION,Count:VALUE",,
3 - 1 - 1 Program,311SERVICE,,1
3-1-1 Project Management Office,311SERVICE,,
Affordable Housing Office,AFFHOUSING,,1
Arena Boards of Management,ARENAS,,1
Assessment Growth 2006,ASSESSMENT,,
Association of Community Centers,COMMCENTRES,,
Association of Community Centres,COMMCENTRES,,1
Auditor General's Office,AUDITGEN,,1
Auditor General’s Office,AUDITGEN,,
Building,BUILDINGS,,1
Building Services,BUILDINGS,,
Business Support,BIZSUPPORT,,1
Business Support Services,BIZSUPPORT,,
Capital & Corporate Financing,CORPFINANCING,,
Children's Services,CHILDSERV,,1
Children’s Services,CHILDSERV,,
City Clerk's Office,CLERK,,1
City Clerk’s Office,CLERK,,
City Manager's Office,CITYMANAGER,,1
City Manager’s Office,CITYMANAGER,,
City Planning,PLANNING,,1
Clean & Beautiful Secretariat,BEAUTY,,1
Clean and Beautiful City Secretariat,BEAUTY,,
Community Partnership and Investment Program,COMMPARTNER,,
Community Partnership and Investment Program revenue,COMMPARTNERREV,,
Corporate Communications,CORPCOMMS,,1
Council,COUNCIL,,1
Court Services,COURTSERV,,1
Culture,CULTURE,,1
Economic Development,ECONDEV,,1
Economic Recovery,ECONRECOV,,
Emergency Medical Services,EMERG,,1
Exhibition Place,EXHIBPLACE,,1
Facilities & Real Estate,FACILITIES,,1
Fire Services,FIRE,,1
Fleet Services,FLEET,,1
Heritage Toronto,HERITAGE,,1
Homes for the Aged,AGEDHOMES,,1
Human Resources,HUMANRESOURCES,,1
Information & Technology,IT,,1
Legal Services,LEGAL,,1
Mayor's Office,MAYOR,,1
Municipal Licensing & Standards,LICENCING,,
Municipal Licensing and Standards,LICENCING,,1
Non-Program Expenditures,CORPEXPENDITURES,,
Non-Program Revenues,CORPREVENUES,,
Office of the DCM and Chief Financial Officer,CFO,,1
Office of the Mayor,MAYOR,,
Office of the Treasurer,TREASURER,,1
Parking Enforcement Unit,PARKINGTAGS,,1
"Parks, Forestry & Recreation",PARKS,,1
Shelter Support & Housing Administration,SHELTERADMIN,,
"Shelter, Housing & Support",SHELTERADMIN,,1
Social Development Finance & Administration,SOCIALDEV,,
"Social Development, Finance & Administration",SOCIALDEV,,1
Social Services,SOCIALSERV,,1
Solid Waste Management Services,SOLIDWASTE,,1
Support Services,SUPPORTSERV,,
Technical Services,TECH,,
Theatres,THEATRES,,1
Toronto & Region Conservation Authority,REGIONCONSERV,,1
Toronto Atmospheric Fund,ATMOSPHERE,,1
Toronto Parking Authority,PARKING,,
Toronto Police Service,POLICE,,
Toronto Police Services Board,POLICEBOARD,,
Toronto Police Services(excludes Board),PUBLICHEALTH,,1
Toronto Public Health,PUBLICHEALTH,,1
Toronto Public Library,LIBRARY,,1
Toronto Transit Commission - Conventional,TTCCONV,,
Toronto Transit Commission - Wheel-Trans,TTCWHEEL,,
Toronto Transit Commission*,TTCCONV,,1
Toronto Water,WATER,,
Toronto Zoo,ZOO,,1
Tourism,TOURISM,,1
Transportation Services,TRANSPORTATION,,1
WES - Support Services,SUPPORTSERV,,
WES - Technical Services,SUPPORTSERV,,1
Waterfront Secretariat,WATERFRONT,,1
Yonge Dundas Square,YONGEDUNDAS,,1
Yonge/Dundas Square,YONGEDUNDAS,,
