_COLUMNS_,"Category:NAME,Category:CODE,Note:DESCRIPTION,Count:VALUE",,
311 Toronto,311SERVICE,,4
Affordable Housing Office,AFFHOUSING,,4
Arena Boards of Management,ARENAS,,4
Association of Community Centres,COMMCENTRES,,4
Auditor General's Office,AUDITGEN,,4
Capital & Corporate Financing,CORPFINANCING,,2
Children's Services,CHILDSERV,,4
City Clerk's Office,CLERK,,4
City Council,COUNCIL,,4
City Manager,CITYMANAGER,,2
City Manager's Office,CITYMANAGER,,2
City Planning,PLANNING,,4
Court Services,COURTSERV,,4
Economic Development & Culture,ECONDEV,,4
Engineering & Construction Services,ENGINEERING,,4
Exhibition Place,EXHIBPLACE,,4
"Facilities, Real Estate, Environment & Energy",FACILITIES,,4
Fire Services,FIRE,,4
Fleet Services,FLEET,,4
Heritage Toronto,HERITAGE,,4
Information & Technology,IT,,4
Integrity Commissioner's Office,INTEGRITYCOMM,,4
Legal Services,LEGAL,,4
Lobbyist Registrar,LOBBYREG,,2
Local Appeal Body,LOCALAPPEAL,,2
Long Term Care Homes & Services,LONGTERMHOME,,4
Mayor's Office,MAYOR,,4
Municipal Licensing & Standards,LICENCING,,2
Municipal Licensing and Standards,LICENCING,,2
Non-Program Expenditures,CORPEXPENDITURES,,2
Non-Program Revenues,CORPREVENUES,,2
Office of the Chief Financial Officer,CFO,,4
Office of the Lobbyist Registrar,LOBBYREG,,2
Office of the Ombudsman,OMBUDSMAN,,4
Office of the Treasurer,TREASURER,,4
Parking Tag Enforcement & Operations,PARKINGTAGS,,2
"Parks, Forestry & Recreation",PARKS,,4
"Policy, Planning, Finance & Administration",POLICYADMIN,,2
"Policy, Planning, Finance and Administration",POLICYADMIN,,2
"Shelter, Support & Housing Administration",SHELTERADMIN,,4
"Social Development, Finance & Administratio",SOCIALDEV,,2
"Social Development, Finance & Administration",SOCIALDEV,,2
Solid Waste Management Services,SOLIDWASTE,,4
Special Levy for Scarborough Subway,SUBWAYLEVY,,1
Theatres,THEATRES,,4
Toronto & Region Conservation Authority,REGIONCONSERV,,2
Toronto Atmospheric Fund,ATMOSPHERE,,2
Toronto Building,BUILDINGS,,2
Toronto Buildings,BUILDINGS,,2
Toronto Employment & Social Services,SOCIALSERV,,4
Toronto Paramedic Services,PARAMEDIC,,4
Toronto Parking Authority,PARKING,,4
Toronto Police Service,POLICE,,4
Toronto Police Services Board,POLICEBOARD,,4
Toronto Public Health,PUBLICHEALTH,,4
Toronto Public Library,LIBRARY,,4
Toronto Transit Commission - Conventional,TTCCONV,,4
Toronto Transit Commission - Wheel Trans,TTCWHEEL,,2
Toronto Transit Commission - Wheel-Trans,TTCWHEEL,,2
Toronto Water,WATER,,4
Toronto Zoo,ZOO,,4
Transportation Services,TRANSPORTATION,,4
Yonge-Dundas Square,YONGEDUNDAS,,4
