_META_START_,,
SOURCE_DOCUMENT_LINK_ORIGINAL,,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=0B208oCU9D8OuY2t5c1JTby1Oc0k,
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=0B208oCU9D8OuTDRIWm1BVU9mT0k,
SOURCE_DOCUMENT_TITLE,2011 Budget Committee Recommended Tax Supported Operating Budget,
SOURCE_DOCUMENT_TABLE_LOCATION,p. 31,
SOURCE_DOCUMENT_TABLE_TITLE,CITY OF TORONTO 2011 BUDGET COMMITTEE RECOMMENDED OPERATING BUDGET APPROVED OPERATING POSITIONS,
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=0B208oCU9D8OuRnl6OW1ONWdOTHM,
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik,
YEAR,2011,
VERSION,Summary,
ASPECT,Staffing,
NOTES_CONTENT,,
NOTES_SEVERITY,,
UNITS_NAME,Full Time Equivalent,
UNITS_CODE,FTE,
UNITS_MULTIPLIER,1,
TOTAL_AMOUNT,50314.299999999996,
INTAKE_DATETIME,2016-10-14-14-16-42,
INTAKE_OPERATOR_ID,Henrik,
COLUMNS_CATEGORIES,"Program:CODE,Program:NAME",
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE,Allocations:DESCRIPTION",
_META_END_,,
AFFHOUSING,Affordable Housing Office,22
CHILDSERV,Children's Services,948.5
COURTSERV,Court Services,290
ECONDEV,Economic Development & Culture,275.8
EMERG,Emergency Medical Services,1218
LONGTERMHOME,Long Term Care Homes & Services,2188.3
PARKS,"Parks, Forestry & Recreation",4280.6
SHELTERADMIN,"Shelter, Support & Housing Administration",748.7
SOCIALDEV,"Social Development, Finance & Administration",172.9
SOCIALSERV,Toronto Employment & Social Services,2286
311SERVICE,311 Toronto,159
PLANNING,City Planning,335
FIRE,Fire Services,3185.3
LICENCING,Municipal Licensing & Standards,487.6
POLICYADMIN,"Policy, Planning, Finance & Administration",234.1
TECH,Technical Services,164.7
BUILDINGS,Toronto Building,427
ENV,Toronto Environment Office,26.6
TRANSPORTATION,Transportation Services,1266
WATERFRONT,Waterfront Secretariat,7
CFO,Office of the Chief Financial Officer,107
TREASURER,Office of the Treasurer,753
FACILITIES,"Facilities, Real Estate, Environment & Energy",819.5
FLEET,Fleet Services,192
IT,Information & Technology,525
CITYMANAGER,City Manager's Office,381
CLERK,City Clerk's Office,427.5
LEGAL,Legal Services,280
MAYOR,Mayor's Office,17
COUNCIL,City Council,176
AUDITGEN,Auditor General's Office,29
LOBBYREG,Office of the Lobbyist Registrar,8.3
INTEGRITYCOMM,Integrity Commissioner's Office,1.5
OMBUDSMAN,Office of the Ombudsman,10
PUBLICHEALTH,Toronto Public Health,1886.6
LIBRARY,Toronto Public Library,1824.9
COMMCENTRES,Association of Community Centres,91.2
EXHIBPLACE,Exhibition Place,529.5
HERITAGE,Heritage Toronto,6
THEATRES,Theatres,211
ZOO,Toronto Zoo,388
ARENAS,Arena Boards of Management,65.5
YONGEDUNDAS,Yonge-Dundas Square,5
PARKINGTAGS,Parking Tag Enforcement & Operations,395
ATMOSPHERE,Toronto Atmospheric Fund,7
TTCCONV,Toronto Transit Commission - Conventional,10706
TTCWHEEL,Toronto Transit Commission - Wheel Trans,532
POLICE,Toronto Police Service,7888
SOLIDWASTE,Solid Waste Management Services,1327.7
WATER,Toronto Water,1702.3
PARKING,Toronto Parking Authority,298.7
