_META_START_,,,,
SOURCE_DOCUMENT_LINK_ORIGINAL,,,,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=0B208oCU9D8OuSVRWNS1ieG91ZUk,,,
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=0B208oCU9D8OuTDRIWm1BVU9mT0k,,,
SOURCE_DOCUMENT_TITLE,2016 CITY OF TORONTO BUDGET SUMMARY,,,
SOURCE_DOCUMENT_TABLE_LOCATION,"PDF p. 127, document, p. 125",,,
SOURCE_DOCUMENT_TABLE_TITLE,CITY OF TORONTO 2016 COUNCIL APPROVED OPERATING BUDGET TOTAL POSITIONS,,,
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=0B208oCU9D8OucWVSRjRCMlZSZWs,,,
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik,,,
YEAR,2016,,,
VERSION,Summary,,,
ASPECT,Staffing,,,
NOTES_CONTENT,,,,
NOTES_SEVERITY,,,,
UNITS_NAME,Full Time Equivalent,,,
UNITS_CODE,FTE,,,
UNITS_MULTIPLIER,1,,,
TOTAL_AMOUNT,54966.19999999999,,,
INTAKE_DATETIME,2016-09-12-19-18-44,,,
INTAKE_OPERATOR_ID,Henrik,,,
COLUMNS_CATEGORIES,"Program:CODE,Program:NAME,Permanence:CODE, Permanence:NAME",,,
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE,Allocations:DESCRIPTION",,,
_META_END_,,,,
311SERVICE,311 Toronto,PERM,Permanent,125
311SERVICE,311 Toronto,TEMP,Temporary,41.3
AFFHOUSING,Affordable Housing Office,PERM,Permanent,15
AFFHOUSING,Affordable Housing Office,TEMP,Temporary,4
ARENAS,Arena Boards of Management,PERM,Permanent,44.3
ARENAS,Arena Boards of Management,TEMP,Temporary,23.4
COMMCENTRES,Association of Community Centres,PERM,Permanent,77.9
COMMCENTRES,Association of Community Centres,TEMP,Temporary,
AUDITGEN,Auditor General's Office,PERM,Permanent,31.5
AUDITGEN,Auditor General's Office,TEMP,Temporary,
CHILDSERV,Children's Services,PERM,Permanent,951.3
CHILDSERV,Children's Services,TEMP,Temporary,39.5
CLERK,City Clerk's Office,PERM,Permanent,399.1
CLERK,City Clerk's Office,TEMP,Temporary,14.9
COUNCIL,City Council,PERM,Permanent,44
COUNCIL,City Council,TEMP,Temporary,136
CITYMANAGER,City Manager's Office,PERM,Permanent,403
CITYMANAGER,City Manager's Office,TEMP,Temporary,29
PLANNING,City Planning,PERM,Permanent,353
PLANNING,City Planning,TEMP,Temporary,19
COURTSERV,Court Services,PERM,Permanent,282
COURTSERV,Court Services,TEMP,Temporary,
ECONDEV,Economic Development & Culture,PERM,Permanent,249
ECONDEV,Economic Development & Culture,TEMP,Temporary,58.5
ENGINEERING,Engineering & Construction Services,PERM,Permanent,534
ENGINEERING,Engineering & Construction Services,TEMP,Temporary,32.1
EXHIBPLACE,Exhibition Place,PERM,Permanent,190
EXHIBPLACE,Exhibition Place,TEMP,Temporary,171
FACILITIES,"Facilities, Real Estate, Environment & Energy",PERM,Permanent,955.2
FACILITIES,"Facilities, Real Estate, Environment & Energy",TEMP,Temporary,67.3
FIRE,Fire Services,PERM,Permanent,3165
FIRE,Fire Services,TEMP,Temporary,3.3
FLEET,Fleet Services,PERM,Permanent,175
FLEET,Fleet Services,TEMP,Temporary,9
HERITAGE,Heritage Toronto,PERM,Permanent,7
HERITAGE,Heritage Toronto,TEMP,Temporary,
IT,Information & Technology,PERM,Permanent,635
IT,Information & Technology,TEMP,Temporary,215
INTEGRITYCOMM,Integrity Commissioner's Office,PERM,Permanent,3
INTEGRITYCOMM,Integrity Commissioner's Office,TEMP,Temporary,
LEGAL,Legal Services,PERM,Permanent,274
LEGAL,Legal Services,TEMP,Temporary,32.4
LONGTERMHOME,Long Term Care Homes & Services,PERM,Permanent,2372
LONGTERMHOME,Long Term Care Homes & Services,TEMP,Temporary,
MAYOR,Mayor's Office,PERM,Permanent,1
MAYOR,Mayor's Office,TEMP,Temporary,19
LICENCING,Municipal Licensing & Standards,PERM,Permanent,459
LICENCING,Municipal Licensing & Standards,TEMP,Temporary,1
CFO,Office of the Chief Financial Officer,PERM,Permanent,102
CFO,Office of the Chief Financial Officer,TEMP,Temporary,13
LOBBYREG,Office of the Lobbyist Registrar,PERM,Permanent,8
LOBBYREG,Office of the Lobbyist Registrar,TEMP,Temporary,0.3
OMBUDSMAN,Office of the Ombudsman,PERM,Permanent,12
OMBUDSMAN,Office of the Ombudsman,TEMP,Temporary,
TREASURER,Office of the Treasurer,PERM,Permanent,656
TREASURER,Office of the Treasurer,TEMP,Temporary,68.2
PARKINGTAGS,Parking Tag Enforcement & Operations,PERM,Permanent,394
