_META_START_,,
SOURCE_DOCUMENT_LINK_ORIGINAL,,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=0B208oCU9D8OuZXFWbzc2WHVPVDg,
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=0B208oCU9D8OuaUJtdGpFb0lVWlE,
SOURCE_DOCUMENT_TITLE,2016 CITY OF TORONTO BUDGET SUMMARY,
SOURCE_DOCUMENT_TABLE_LOCATION,"pdf p. 127, document p.125",
SOURCE_DOCUMENT_TABLE_TITLE,CITY OF TORONTO 2016 COUNCIL APPROVED OPERATING BUDGET TOTAL POSITIONS,
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=0B208oCU9D8OuZ3FOVnpETlk1aTg,
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik,
YEAR,2015,
VERSION,Summary,
ASPECT,Staffing,
NOTES_CONTENT,,
NOTES_SEVERITY,,
UNITS_NAME,Full Time Equivalent,
UNITS_CODE,FTE,
UNITS_MULTIPLIER,1,
TOTAL_AMOUNT,54966.1,
INTAKE_DATETIME,2016-10-27-12-09-16,
INTAKE_OPERATOR_ID,Henrik,
COLUMNS_CATEGORIES,"Program:CODE,Program:NAME",
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE,Allocations:DESCRIPTION",
_META_END_,,
AFFHOUSING,Affordable Housing Office,19
CHILDSERV,Children's Services,990.8
COURTSERV,Court Services,282
ECONDEV,Economic Development & Culture,307.5
PARAMEDIC,Toronto Paramedic Services,1445.3
LONGTERMHOME,Long Term Care Homes & Services,2372
PARKS,"Parks, Forestry & Recreation",4607.2
SHELTERADMIN,"Shelter, Support & Housing Administration",757.5
SOCIALDEV,"Social Development, Finance & Administration",137.5
SOCIALSERV,Toronto Employment & Social Services,2120
PLANNING,City Planning,372
FIRE,Fire Services,3168.3
LICENCING,Municipal Licensing & Standards,460
POLICYADMIN,"Policy, Planning, Finance & Administration",196.4
ENGINEERING,Engineering & Construction Services,566.1
BUILDINGS,Toronto Building,456
TRANSPORTATION,Transportation Services,1123
CFO,Office of the Chief Financial Officer,115
TREASURER,Office of the Treasurer,724.2
FACILITIES,"Facilities, Real Estate, Environment & Energy",1022.5
FLEET,Fleet Services,184
IT,Information & Technology,850
311SERVICE,311 Toronto,166.3
CITYMANAGER,City Manager's Office,432
CLERK,City Clerk's Office,413.9
LEGAL,Legal Services,306.4
MAYOR,Mayor's Office,20
COUNCIL,City Council,180
AUDITGEN,Auditor General's Office,31.5
LOBBYREG,Office of the Lobbyist Registrar,8.3
INTEGRITYCOMM,Integrity Commissioner's Office,3
OMBUDSMAN,Office of the Ombudsman,12
PUBLICHEALTH,Toronto Public Health,1872
LIBRARY,Toronto Public Library,1741
COMMCENTRES,Association of Community Centres,77.9
EXHIBPLACE,Exhibition Place,361
HERITAGE,Heritage Toronto,7
THEATRES,Theatres,171.9
ZOO,Toronto Zoo,394
ARENAS,Arena Boards of Management,67.7
YONGEDUNDAS,Yonge-Dundas Square,6.5
PARKINGTAGS,Parking Tag Enforcement & Operations,394
REGIONCONSERV,Toronto & Region Conservation Authority,419.6
ATMOSPHERE,Toronto Atmospheric Fund,8
TTCCONV,Toronto Transit Commission - Conventional,13975
TTCWHEEL,Toronto Transit Commission - Wheel Trans,565
POLICE,Toronto Police Service,7881
POLICEBOARD,Toronto Police Services Board,7
SOLIDWASTE,Solid Waste Management Services,1108.7
WATER,Toronto Water,1756.7
PARKING,Toronto Parking Authority,302.4
