_META_START_,,
SOURCE_DOCUMENT_LINK_ORIGINAL,,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=0B208oCU9D8OueVpxSzVXb2pCbFE,
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=0B208oCU9D8OuTDRIWm1BVU9mT0k,
SOURCE_DOCUMENT_TITLE,2006 BUDGET BRIEFING NOTE - Summary of 2006 Proposed Approved Positions (Levy Operations),
SOURCE_DOCUMENT_TABLE_LOCATION,p. 9,
SOURCE_DOCUMENT_TABLE_TITLE,CITY OF TORONTO 2006 PROPOSED OPERATING BUDGET CORPORATE SUMMARY OF APPROVED POSITIONS (OPERATING) PERMANENT VS TEMPORARY,
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=0B208oCU9D8OubkpOcW9KTnZER2M,
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik,
YEAR,2006,
VERSION,Summary,
ASPECT,Staffing,
NOTES_CONTENT,,
NOTES_SEVERITY,,
UNITS_NAME,Full Time Equivalent,
UNITS_CODE,FTE,
UNITS_MULTIPLIER,1,
TOTAL_AMOUNT,45677.8,
INTAKE_DATETIME,2016-10-11-19-27-52,
INTAKE_OPERATOR_ID,Henrik,
COLUMNS_CATEGORIES,"Program:CODE,Program:NAME",
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE",
_META_END_,,
AFFHOUSING,Affordable Housing Office,24
CHILDSERV,Children's Services,967.7
COURTSERV,Court Services,221
CULTURE,Culture,144
ECONDEV,Economic Development,80
EMERG,Emergency Medical Services,1197.3
AGEDHOMES,Homes for the Aged,2126.9
PARKS,"Parks, Forestry & Recreation",3884.1
SHELTERADMIN,"Shelter, Housing & Support",689
SOCIALDEV,"Social Development, Finance & Administration",294.3
SOCIALSERV,Social Services,1940
TOURISM,Tourism,41.3
BUILDINGS,Building,408.5
BIZSUPPORT,Business Support,82
PLANNING,City Planning,327
BEAUTY,Clean & Beautiful Secretariat,2
FIRE,Fire Services,3186.7
LICENCING,Municipal Licensing and Standards,320
SOLIDWASTE,Solid Waste Management Services,1421.1
TRANSPORTATION,Transportation Services,1380.4
WATERFRONT,Waterfront Secretariat,6
SUPPORTSERV,WES - Technical Services,384.5
CFO,Office of the DCM and Chief Financial Officer,165
TREASURER,Office of the Treasurer,729
CORPCOMMS,Corporate Communications,83
FACILITIES,Facilities & Real Estate,708.3
FLEET,Fleet Services,198
IT,Information & Technology,337
CITYMANAGER,City Manager's Office,63
HUMANRESOURCES,Human Resources,305
CLERK,City Clerk's Office,360.5
LEGAL,Legal Services,241
AUDITGEN,Auditor General's Office,30
MAYOR,Mayor's Office,19
COUNCIL,Council,183
311SERVICE,3 - 1 - 1 Program,0
PUBLICHEALTH,Toronto Public Health,1836.7
LIBRARY,Toronto Public Library,1813.2
COMMCENTRES,Association of Community Centres,90.1
EXHIBPLACE,Exhibition Place,447
HERITAGE,Heritage Toronto,5
THEATRES,Theatres,200
ZOO,Toronto Zoo,354
ARENAS,Arena Boards of Management,63.5
YONGEDUNDAS,Yonge Dundas Square,4
PARKINGTAGS,Parking Enforcement Unit,395
ATMOSPHERE,Toronto Atmospheric Fund,4
REGIONCONSERV,Toronto & Region Conservation Authority,394.7
TTCCONV,Toronto Transit Commission*,9949
POLICE,Toronto Police Services(excludes Board),7572
