_META_START_,,
SOURCE_DOCUMENT_LINK_ORIGINAL,,
SOURCE_DOCUMENT_LINK_COPY,https://drive.google.com/open?id=0BzB3t6aSc9bDWWpVRmRPN25IQWs,
SOURCE_DOCUMENT_LINK_WORKING_DIRECTORY,https://drive.google.com/open?id=0B208oCU9D8OubHdZVEpCZmdfNlE,
SOURCE_DOCUMENT_TITLE,2006 OPERATING BUDGET SUMMARY BY PROGRAM,
SOURCE_DOCUMENT_TABLE_LOCATION,,
SOURCE_DOCUMENT_TABLE_TITLE,,
SOURCE_CSV_PRECURSOR_LINK,https://drive.google.com/open?id=0B208oCU9D8OubHhPS2ZsQ0hyRlU,
SOURCE_CSV_PRECURSOR_AUTHOR_ID,Henrik,
YEAR,2006,
VERSION,Summary,
ASPECT,Expenses,
NOTES_CONTENT,,
NOTES_SEVERITY,,
UNITS_NAME,Dollar,
UNITS_CODE,DOLLAR,
UNITS_MULTIPLIER,1000,
TOTAL_AMOUNT,8283224,
INTAKE_DATETIME,2016-09-12-16-17-27,
INTAKE_OPERATOR_ID,Henrik,
COLUMNS_CATEGORIES,"Program:CODE,Program:NAME",
COLUMNS_ATTRIBUTES,"Amount:VALUE, Notes:DESCRIPTION, Severity: CODE",
_META_END_,,
311SERVICE,3-1-1 Project Management Office,615.3
AFFHOUSING,Affordable Housing Office,3014
AGEDHOMES,Homes for the Aged,186171.3
ARENAS,Arena Boards of Management,5674.2
AUDITGEN,Auditor General’s Office,3880.4
BEAUTY,Clean and Beautiful City Secretariat,317.2
BIZSUPPORT,Business Support Services,10340.7
BUILDINGS,Building Services,39276
CFO,Office of the DCM and Chief Financial Officer,16885.7
CHILDSERV,Children’s Services,415589
CITYMANAGER,City Manager’s Office,6532.7
CLERK,City Clerk’s Office,47005.3
COMMCENTRES,Association of Community Centers,6008.6
CORPCOMMS,Corporate Communications,7189.4
CORPEXPENDITURES,Non-Program Expenditures,361780
CORPFINANCING,Capital & Corporate Financing,481477.8
COUNCIL,Council,18791.1
COURTSERV,Court Services,32415.3
CPIP,Community Partnership and Investment Program,47796.4
CULTURE,Culture,15917.8
ECONDEV,Economic Development,9870.5
ECONRECOV,Economic Recovery,0
EMERG,Emergency Medical Services,142384.1
EXHIBPLACE,Exhibition Place,47511.9
FACILITIES,Facilities & Real Estate,116478.4
FIRE,Fire Services,317211.5
FLEET,Fleet Services,34697.5
HERITAGE,Heritage Toronto,670.4
HUMANRESOURCES,Human Resources,29644.8
IT,Information & Technology,51108.5
LEGAL,Legal Services,28584.7
LIBRARY,Toronto Public Library,158328.7
LICENCING,Municipal Licensing & Standards,28821.5
MAYOR,Office of the Mayor,1888.2
PARKING,Toronto Parking Authority,54801.4
PARKS,"Parks, Forestry & Recreation",283643.4
PLANNING,City Planning,31938.6
POLICE,Toronto Police Service,796170.4
POLICEBOARD,Toronto Police Services Board,1784.6
PUBLICHEALTH,Toronto Public Health,210572.2
REGIONCONSERV,Toronto & Region Conservation Authority,33979.3
SHELTERADMIN,Shelter Support & Housing Administration,698078.3
SOCIALDEV,Social Development Finance & Administration,32832.8
SOCIALSERV,Social Services,1036471.8
SOLIDWASTE,Solid Waste Management Services,230076.5
SUPPORTSERV,Support Services,0
TECH,Technical Services,60585.4
THEATRES,Theatres,29798.1
TOURISM,Tourism,8977.5
TRANSPORTATION,Transportation Services,285520.8
TREASURER,Office of the Treasurer,63152.3
TTCCONV,Toronto Transit Commission - Conventional,1037991.9
TTCWHEEL,Toronto Transit Commission - Wheel-Trans,63009.1
WATER,Toronto Water,610450.7
WATERFRONT,Waterfront Secretariat,993.5
YONGEDUNDAS,Yonge/Dundas Square,1072.4
ZOO,Toronto Zoo,37444.1
